DATE,USD3MTD156N
2018-04-02,.
2018-04-03,2.32084
2018-04-04,2.32461
2018-04-05,2.33063
2018-04-06,2.33746
2018-04-09,2.3373
2018-04-10,2.33903
2018-04-11,2.34163
2018-04-12,2.34769
2018-04-13,2.35281
2018-04-16,2.35509
2018-04-17,2.35539
2018-04-18,2.35866
2018-04-19,2.36156
2018-04-20,2.35923
2018-04-23,2.35954
2018-04-24,2.36167
2018-04-25,2.36561
2018-04-26,2.35878
2018-04-27,2.35805
2018-04-30,2.36294
2018-05-01,2.35375
2018-05-02,2.36294
2018-05-03,2.36313
2018-05-04,2.36906
2018-05-07,.
2018-05-08,2.3525
2018-05-09,2.35575
2018-05-10,2.355
2018-05-11,2.3425
2018-05-14,2.33
2018-05-15,2.32063
2018-05-16,2.32563
2018-05-17,2.33125
2018-05-18,2.32938
2018-05-21,2.33
2018-05-22,2.33
2018-05-23,2.33
2018-05-24,2.31938
2018-05-25,2.31813
2018-05-28,.
2018-05-29,2.30719
2018-05-30,2.30031
2018-05-31,2.32125
2018-06-01,2.31781
2018-06-04,2.31381
2018-06-05,2.31919
2018-06-06,2.32088
2018-06-07,2.32713
2018-06-08,2.32631
2018-06-11,2.33263
2018-06-12,2.33563
2018-06-13,2.34063
2018-06-14,2.33469
2018-06-15,2.32594
2018-06-18,2.32469
2018-06-19,2.33025
2018-06-20,2.33188
2018-06-21,2.33506
2018-06-22,2.33888
2018-06-25,2.337
2018-06-26,2.33563
2018-06-27,2.33438
2018-06-28,2.33738
2018-06-29,2.33575
2018-07-02,2.3425
2018-07-03,2.33725
2018-07-04,2.33731
2018-07-05,2.33863
2018-07-06,2.33144
2018-07-09,2.33313
2018-07-10,2.33744
2018-07-11,2.337
2018-07-12,2.33919
2018-07-13,2.336
2018-07-16,2.33263
2018-07-17,2.34194
2018-07-18,2.3475
2018-07-19,2.34706
2018-07-20,2.34156
2018-07-23,2.33531
2018-07-24,2.33488
2018-07-25,2.33688
2018-07-26,2.33888
2018-07-27,2.34238
2018-07-30,2.34313
2018-07-31,2.34856
2018-08-01,2.34825
2018-08-02,2.3405
2018-08-03,2.343
2018-08-06,2.34325
2018-08-07,2.34144
2018-08-08,2.3405
2018-08-09,2.338
2018-08-10,2.31925
2018-08-13,2.31375
2018-08-14,2.31519
2018-08-15,2.31175
2018-08-16,2.32225
2018-08-17,2.31188
2018-08-20,2.30963
2018-08-21,2.31025
2018-08-22,2.31175
2018-08-23,2.31138
2018-08-24,2.31725
2018-08-27,.
2018-08-28,2.31475
2018-08-29,2.31263
2018-08-30,2.32125
2018-08-31,2.32075
2018-09-03,2.31563
2018-09-04,2.32275
2018-09-05,2.31681
2018-09-06,2.32706
2018-09-07,2.33125
2018-09-10,2.33425
2018-09-11,2.33425
2018-09-12,2.3315
2018-09-13,2.33413
2018-09-14,2.33713
2018-09-17,2.33875
2018-09-18,2.3375
2018-09-19,2.35338
2018-09-20,2.36638
2018-09-21,2.37263
2018-09-24,2.37363
2018-09-25,2.381
2018-09-26,2.38613
2018-09-27,2.396
2018-09-28,2.39838
2018-10-01,2.39813
2018-10-02,2.4075
2018-10-03,2.40825
2018-10-04,2.40963
2018-10-05,2.40806
2018-10-08,2.41425
2018-10-09,2.42044
2018-10-10,2.42519
2018-10-11,2.43631
2018-10-12,2.43644
2018-10-15,2.44881
2018-10-16,2.44456
2018-10-17,2.44963
2018-10-18,2.469
2018-10-19,2.47719
2018-10-22,2.48738
2018-10-23,2.48988
2018-10-24,2.508
2018-10-25,2.50925
2018-10-26,2.52038
2018-10-29,2.52663
2018-10-30,2.541
2018-10-31,2.5585
2018-11-01,2.5815
2018-11-02,2.59238
2018-11-05,2.58925
2018-11-06,2.59125
2018-11-07,2.60113
2018-11-08,2.61463
2018-11-09,2.61813
2018-11-12,2.61413
2018-11-13,2.61613
2018-11-14,2.629
2018-11-15,2.64
2018-11-16,2.6445
2018-11-19,2.64581
2018-11-20,2.65313
2018-11-21,2.67694
2018-11-22,2.68925
2018-11-23,2.69119
2018-11-26,2.70681
2018-11-27,2.706
2018-11-28,2.70663
2018-11-29,2.73813
2018-11-30,2.73613
2018-12-03,2.75125
2018-12-04,2.73888
2018-12-05,2.76575
2018-12-06,2.76713
2018-12-07,2.77106
2018-12-10,2.77594
2018-12-11,2.779
2018-12-12,2.7775
2018-12-13,2.78819
2018-12-14,2.80069
2018-12-17,2.80363
2018-12-18,2.792
2018-12-19,2.78963
2018-12-20,2.82375
2018-12-21,2.82163
2018-12-24,2.81344
2018-12-25,.
2018-12-26,.
2018-12-27,2.803
2018-12-28,2.797
2018-12-31,2.80763
2019-01-01,.
2019-01-02,2.79388
2019-01-03,2.795
2019-01-04,2.80388
2019-01-07,2.79681
2019-01-08,2.7825
2019-01-09,2.79888
2019-01-10,2.79694
2019-01-11,2.78731
2019-01-14,2.77894
2019-01-15,2.77344
2019-01-16,2.78031
2019-01-17,2.77575
2019-01-18,2.761
2019-01-21,2.77238
2019-01-22,2.77925
2019-01-23,2.77063
2019-01-24,2.76475
2019-01-25,2.75163
